Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,AUS,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,6.767570832,6.985689371,6.980400789,7.105293349,7.338859215,7.557775166,7.760657274,8.138213162,8.321490334,8.717095617,9.16456263,9.639776035,10.2363854,11.15594775,12.98345637,15.12438001,17.24457357,19.21365059,20.79609348,22.59181414,24.85454202,27.22217649,30.40963021,33.49854393,36.1326504,37.80506449,40.23536035,43.10301125,46.24925939,50.52637366,53.61068567,55.23224674,56.03679728,56.52976059,57.11030971,58.40822824,59.98278732,60.7225809,61.49551669,61.71386638,63.30576407,66.23143025,68.12582001,70.24685563,72.57134469,75.3259813,79.16228077,83.13172434,86.89351242,91.24120618,92.30307388,98.08003728,99.91849246,99.76072494,101.1972247,100.4604789,100,103.7014536,
Austria,AUT,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,17.9646708,18.87856122,19.50914353,20.22674174,20.87071836,21.981336,22.66767378,23.403866,24.06807519,24.72599357,26.3211642,27.95422723,30.07872951,32.49872666,35.58680072,37.8849166,40.0159125,42.09622495,44.61905804,46.45485182,49.04732479,52.34167059,55.1447188,57.05977569,59.88410518,61.65846853,63.47800846,65.02493468,66.01777106,67.97504013,70.01407411,72.5638967,75.08846224,77.15871469,79.10692815,80.541863,81.3361703,82.3666983,82.73067689,82.94275754,84.07413082,85.71114083,86.6930478,87.8266029,89.35454035,91.62217332,93.35581314,95.42941004,97.2963154,99.13450221,100,101.8334099,103.9253094,105.6129407,107.7045602,110.1977306,111.397621,113.131371,
Azerbaijan,AZE,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003744216,0.006284351,0.077945439,0.663059916,9.853517094,63.61986033,80.42769426,87.86122717,87.01324862,88.89459892,100,102.5150101,105.7138267,112.0646534,121.3816039,140.9735452,156.9052751,189.8269895,242.5266695,196.6170219,223.6647467,274.1371274,281.9443882,283.2343491,281.6520338,256.711398,294.3745557,341.3371172,
Burundi,BDI,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2.212037163,2.656157517,2.561401317,2.68145802,2.826718436,2.79762122,2.885803191,2.732336576,2.815859,2.966841976,3.120658248,3.163730165,3.299479814,3.481295751,3.914897321,4.740428031,5.123215141,5.85604627,6.588503275,8.310125802,9.671658838,9.085235688,9.600552214,10.2177284,11.97683244,12.58391879,12.04816924,11.63638751,12.04263971,13.81979431,14.6469866,15.24650839,16.07008829,17.31433828,18.46374118,21.4369042,24.53520385,32.48406748,36.20367382,41.61762199,57.82556042,65.75714952,66.43304001,74.36896399,84.14562649,100,102.8456663,111.3544704,138.3198437,152.7864324,165.8673219,179.7408754,205.4302316,221.7731498,233.5378906,283.3609636,286.0385134,318.8490877,
Belgium,BEL,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,15.84793761,16.05641226,16.32418376,16.81812037,17.59888926,18.49655808,19.25233021,19.86714007,20.38771662,21.20808292,22.74406219,23.96273815,25.4766609,27.21085381,30.52196329,34.4561593,37.06630442,39.83814476,41.60028541,43.4744789,45.26849524,47.59493241,51.19806716,54.07173758,57.01254659,59.65094074,61.31924655,62.35193056,63.70433779,66.76052652,68.63810169,70.61256221,73.03070672,75.94699215,77.5375539,78.48410863,78.8326347,79.54152392,80.94207312,81.40230548,83.04954288,84.79490618,86.21932636,87.91165154,89.65283016,91.56784232,93.6829523,95.56363572,97.39388871,98.15171363,100,102.0018473,104.0160457,105.1042666,105.8036871,106.9831731,108.6782529,110.5018611,
Benin,BEN,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,9.742853939,9.844319495,10.21649001,10.47691255,10.43881095,10.65360206,10.77469789,10.78989802,11.14310802,11.52801276,12.10983697,12.30035907,12.95439697,13.57915385,15.60526001,17.82853137,20.33084242,21.38334712,24.02086729,27.14470562,29.91015932,32.14413365,37.33485965,39.10685039,39.87083438,37.92634107,36.55941028,37.66659734,37.43664016,38.26958087,39.10255539,39.3984132,40.59026818,41.55563539,56.11262133,64.5853196,69.04641729,71.57870098,75.3234157,81.75849131,85.30522781,86.98751439,90.07827375,92.83815289,93.55318816,97.57017983,99.61102467,100,106.4380686,109.131171,110.0969511,114.2078365,122.9934988,124.7236236,124.4135106,124.5077503,124.1591345,124.1985021,
Burkina Faso,BFA,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,18.75675844,19.11325094,19.4974983,20.50113685,20.87266185,20.73572216,21.21329009,20.27757008,20.22406189,21.62218248,22.00779836,22.75110632,24.41117384,25.06487065,27.82569331,30.1007654,32.12519408,38.1203902,43.66016938,47.04537175,51.13566975,58.08225585,63.33667666,66.76275826,71.10306211,71.64135972,67.09523053,67.92541537,70.2406916,73.63445519,74.96725018,71.99271406,72.15618044,71.11580393,81.52641936,87.0454066,87.34893842,88.70826247,95.75197885,100,99.18022803,102.3337918,106.2613073,107.8390536,107.9367852,111.9729696,111.2307891,112.3375264,120.9192017,123.8278774,132.2557278,141.124726,149.3437923,146.1640011,145.2572303,140.7928513,139.2296879,145.5297278,
Bangladesh,BGD,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2.181300223,2.317794683,2.318309778,2.438028663,2.224866341,2.401336174,2.552528834,2.930097967,2.761043492,3.087611869,3.103368232,3.195328944,3.335987953,5.384477485,7.782870047,14.05350949,11.57581684,11.20421507,14.07461011,15.84301534,18.62426731,20.46708088,22.48427799,24.39268862,26.31375099,31.18050968,33.7542752,37.50762611,40.31913598,43.68093476,46.5344946,47.80466852,49.03906245,49.11532711,51.06334722,54.71179208,65.18538704,67.66258311,70.86722687,73.54674346,76.08164917,78.56279358,81.62113899,86.36807478,90.30830414,94.45016871,100,106.4712601,114.8409298,122.6091776,131.3691726,141.6940618,153.262812,164.2593401,173.5708547,183.7642618,196.1276295,208.4418621,
Bulgaria,BGR,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,0.061107122,0.062830916,0.064035053,0.063621853,0.065363023,0.06551282,0.066394289,0.066436674,0.062855907,0.067085911,0.08465437,0.276428569,0.441120977,0.666494333,1.151068826,1.869066984,3.80241401,40.24867529,52.86830057,54.56937337,58.49660471,62.06981466,64.41214689,65.87504349,69.60323175,74.13558018,79.13338409,87.91038305,95.05729105,98.90465646,100,105.9786282,107.6268552,106.8703396,107.3646213,109.7331845,112.1979012,116.0155878,
Bahrain,BHR,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,40.39822513,48.03824255,54.63100815,52.61514189,52.39495801,51.43875289,42.49219048,42.77223461,43.63171174,45.3659241,47.55559915,46.66035317,45.01200513,43.65002525,46.85009131,47.36107049,47.4542401,47.89637843,44.51613436,45.69867597,59.40438702,57.40609699,59.45241905,64.47314237,71.55943491,81.38811779,88.58488764,96.05741004,106.974194,93.07422935,99.99989657,109.7363083,113.040086,113.4749583,111.5792374,101.1260693,101.2074326,106.980691,
"Bahamas, The",BHS,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,8.708804817,8.809879315,8.905874627,9.025548581,9.161410259,9.345712888,9.698169492,10.15525126,10.6796157,11.63281122,12.34768768,12.91352684,13.78992385,14.55540576,16.48147996,18.23780881,18.67363139,18.99644302,19.42346098,21.08496259,23.19490646,27.29769752,28.30634951,29.99821068,30.94958458,33.56814448,35.13254993,37.44650181,38.00232422,38.69137147,40.65445986,41.69380723,43.32218601,42.95308816,43.89091168,44.24310784,44.67856779,76.80913312,79.15122227,83.06994253,83.835772,84.13210568,87.4644722,88.47440552,89.53125881,94.05862958,94.83738033,97.63272587,99.08642057,98.05933684,97.67427911,96.83590557,100,99.54198473,102.7821813,109.4707624,111.7912012,113.2169089,
Bosnia and Herzegovina,BIH,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.94255894,54.36119212,45.08893254,50.95567076,50.14959022,54.33991492,69.98445018,72.05736368,75.27226261,75.95903522,82.37018903,80.09878782,86.34391942,91.69647966,98.43870647,98.61954227,100,102.4330926,103.248117,103.0171781,104.0520486,105.4737808,106.9616539,108.6229753,
Belarus,BLR,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07E-06,2.25E-06,2.55E-05,0.000295224,0.006039537,0.045991319,0.070695246,0.121348089,0.214276997,0.893092458,2.547910267,4.574379806,6.627989942,8.661809955,10.62588599,12.64184612,14.00066959,15.80293411,19.15529522,20.92881925,23.87897594,39.83798997,69.82698075,84.67030847,100,116.0224938,125.700994,135.9775092,
Belize,BLZ,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,23.172561,23.58109947,23.90108664,24.1251974,24.64055287,26.02303925,27.5255923,28.38506342,28.86175029,28.92407211,31.0556728,32.62830215,32.22526589,36.9547332,44.97783599,52.56887642,53.17735299,54.36985271,58.36559213,60.45825204,69.49602535,68.07524693,63.32359852,68.22532325,74.66516604,73.31743253,76.39849588,83.71864608,86.83828375,88.61446186,88.76764628,85.94468065,89.37443649,90.85049152,94.11009609,99.83046347,101.7963688,100.2935472,101.8010036,99.52630991,100,99.77739332,101.5250501,98.62074223,100.6607038,103.3588483,107.9882505,113.220573,116.3151871,112.7198486,114.0539312,118.8223644,121.4281311,123.8373299,125.7027948,126.5242725,130.4604969,132.596274,
Bermuda,BMU,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,6.418170812,6.478439779,6.541704629,6.624836705,6.655380716,6.752624014,6.928773708,7.169918287,7.813892716,8.30468825,8.825352291,9.667839092,10.58877528,11.94543137,13.73532856,14.60848714,15.01513617,16.40690432,17.21391241,18.31824745,20.1233435,23.68706514,26.57892227,29.50190764,32.53958705,35.0171799,37.06048022,39.46502131,41.39605032,43.72942693,46.36787352,49.3496016,50.73824214,53.37475562,54.42066822,56.694616,73.34281984,76.29406445,78.38570529,80.51164282,77.10088348,76.04522113,82.57023726,84.90263177,88.88638497,94.89721445,100,105.8664058,108.0740778,108.4346831,109.5720627,109.5363723,114.8265545,118.5537057,,,,,
Bolivia,BOL,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,7.35E-05,7.83E-05,8.11E-05,8.17E-05,8.86E-05,9.38E-05,9.69E-05,0.000102947,0.00010767,0.000111675,0.000116097,0.000119045,0.000141637,0.000202462,0.000327069,0.000348967,0.000378975,0.000426501,0.000486653,0.000582997,0.000727333,0.000940974,0.002435286,0.00890381,0.137427064,17.09403352,56.41345466,64.29605022,75.98811448,86.00823243,100,117.6894369,133.22351,141.9591879,153.248072,170.7601673,190.5345464,201.4046233,215.6059255,220.8053948,232.2771357,236.6209337,243.2954387,258.6960184,279.3081668,295.901294,336.3322981,361.1312736,398.620971,388.9747584,423.1170502,484.9020997,519.3314901,550.467428,561.7492428,535.7930417,528.5337465,560.5702863,
Brazil,BRA,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2.37E-13,3.11E-13,5.56E-13,9.44E-13,1.83E-12,2.77E-12,3.86E-12,4.99E-12,6.32E-12,7.65E-12,8.95E-12,1.08E-11,1.28E-11,1.57E-11,2.12E-11,2.84E-11,4.19E-11,6.13E-11,8.64E-11,1.35E-10,2.53E-10,5.25E-10,1.08E-09,2.58E-09,8.08E-09,2.68E-08,6.57E-08,2.00E-07,1.50E-06,1.97E-05,0.00055033,0.002829997,0.030229583,0.635228658,15.26353323,28.92400476,34.26273493,36.91084453,38.72836829,41.8302345,44.29214548,47.93855636,52.63534663,60.05276405,64.70537009,69.51758942,74.23025223,79.01705536,85.95633954,92.24270709,100,108.3072853,116.8965854,125.6624762,135.5171092,145.7766221,157.6492366,163.6260581,
Barbados,BRB,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,100,129.3607285,133.2686935,146.2628386,156.0880538,175.4091536,215.6993745,242.0691408,266.0427807,281.0454908,295.7996146,306.2905071,319.9637243,343.5274699,353.1851852,376.9882301,462.9166193,477.9093169,496.6017564,517.4776814,524.2185607,540.2565016,554.0833809,559.1494002,607.7367812,634.7652976,626.2413482,640.4952733,646.1977574,653.5322291,691.5969694,737.6360367,748.0745119,822.3620523,840.6434034,820.1281465,827.0768669,845.4380555,842.2447318,834.237656,833.3363472,821.5322581,795.686929,812.9352992,
Brunei Darussalam,BRN,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,27.11505936,28.61152968,30.22153673,32.75443377,32.04319439,36.10367265,67.1939775,73.25594603,69.71149859,61.75042084,60.96361453,59.46089737,40.49004816,44.83461442,41.3962151,44.99687857,48.78109976,47.39704297,48.21553082,46.79245448,42.69173853,43.91827112,45.88965507,49.82921468,44.02482195,49.12904945,63.38419156,59.83981219,60.06373846,63.73039609,73.85471175,87.71452266,96.52783359,97.60937747,109.9986722,85.69840738,100,120.1805054,121.6486942,118.2131481,115.8419336,95.60634579,86.82871965,91.13129351,
Bhutan,BTN,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,22.52841224,23.51574081,25.27152038,26.94965889,29.65596083,31.52802143,33.63565556,33.77150021,38.73576005,40.86839418,43.20150925,46.98775298,51.35609097,55.56033807,62.70094717,67.74700638,73.20479126,82.34470047,90.99882439,97.76486741,99.99997669,105.2662842,110.4045605,113.8106234,118.1251074,125.0447982,131.811216,135.9114153,143.5945861,150.5607201,159.572548,173.3072199,189.2181038,200.3146002,214.8985249,222.7394989,232.7428721,245.526823,
Botswana,BWA,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,1.984761334,2.023145557,2.050675213,2.074808108,2.127663821,2.209499636,2.33740187,2.514613186,2.569083466,2.609786875,2.76581542,2.89481803,3.206746895,3.524426878,3.975445112,4.630092864,5.154012406,5.408485754,6.08275147,7.412219635,8.167545758,8.16033195,8.461890356,9.201923741,10.62150314,13.0531539,14.88859048,16.77855856,20.58679799,23.39664419,24.87063705,26.15836652,27.89509391,31.53950435,34.52434149,36.99465992,42.9553118,45.09904322,49.59418706,56.65402297,64.68244581,70.05938439,70.891249,73.20165459,80.57949462,93.04651758,100.0000058,104.9276131,109.8900528,116.9917258,127.4273875,145.2138626,145.4952462,148.8549047,166.5744481,169.5155699,189.9706695,195.9519425,
Central African Republic,CAF,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,7.298689766,7.636985389,8.010338273,8.384779589,9.017157238,9.471544298,9.895434838,9.818802886,11.40673907,10.96727303,11.45980007,12.02571574,12.5842185,12.86100716,13.55305791,16.17235119,20.37661699,22.69394018,24.78822633,27.49674509,32.51912984,37.03042614,44.77505614,49.7463775,50.45247811,67.67956523,65.35880774,63.85336487,65.52891288,67.13843719,68.37153201,68.10500911,70.00013111,67.59701239,84.09918014,92.42329669,89.14869702,89.88273045,89.51047745,93.16672578,101.0920475,101.5226376,99.11464074,100.4392273,95.97994058,100,103.3340459,105.2335651,112.6810189,116.60515,118.9477847,121.2813555,124.5483033,133.2629922,148.0134523,157.1344457,167.0579343,174.592883,
Canada,CAN,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,12.22857101,12.28458699,12.45831695,12.7151026,13.04559982,13.48387812,14.15545976,14.77852435,15.31584619,16.00594533,16.97536814,17.79559325,18.84555555,20.67107093,23.81268042,26.35948322,28.86281894,30.82449311,32.8598238,36.14104656,39.78102777,44.06808387,47.96283173,50.72674596,52.51636169,54.26429293,55.92872158,58.5915063,61.25416528,64.14128166,66.33705584,68.38966448,69.41651335,70.32096828,71.35492575,72.96795783,74.24092129,75.08824974,74.9527616,76.37978264,79.69563798,81.01718511,82.02522328,84.69591526,87.47412982,90.22697922,92.58499471,95.65768282,99.48874992,97.2062324,100,103.2420497,104.5028957,106.1594286,108.2513426,107.4333926,108.091066,110.5480802,
Central Europe and the Baltics,CEB,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,55.12487924,58.24555782,62.52546529,64.00537061,66.41174078,67.91977251,69.98086181,71.51587971,73.51134328,76.05370401,79.55492848,83.85813797,85.63981734,87.62839447,88.66625386,89.32039599,89.46530214,89.09767096,88.99333884,89.0957946,90.43338955,91.35445834,91.12276089,92.14963952,92.46611926,93.10430972,95.05557469,97.35084509,99.32441296,99.68381347,100,100.3422865,100.1676722,100.1930107,99.56639579,98.96823134,98.4079291,98.7558499,
Channel Islands,CHI,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.49719785,75.33157075,78.26371473,80.84769735,84.39103005,88.0651754,91.40951326,93.69905617,96.77138413,100,,,,,,,,,,,
Chile,CHL,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2.84E-05,3.02E-05,3.41E-05,4.91E-05,7.26E-05,0.000100852,0.000129677,0.000162284,0.000216599,0.000303586,0.000426768,0.000502185,0.000942074,0.004849895,0.037761692,0.168870744,0.586502463,1.183407263,1.849483787,2.736823294,3.533722193,3.942533302,4.244387342,5.558605538,6.433392868,9.114953619,11.0705575,13.93212158,16.9578832,19.290615,23.62539696,28.67910144,32.54056378,36.49893453,41.77813492,46.6581211,48.23113515,49.70779491,50.22601732,51.37089051,53.56537234,55.63347846,57.52060665,60.15439329,64.87620159,69.83461744,78.32804834,82.50921429,82.46512215,86.30367979,94.03846909,96.9657991,98.06166867,100,105.9236057,111.1874779,116.4415917,121.8577575,
China,CHN,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,14.85558139,17.12165084,17.10196695,16.65361996,16.59332745,16.73765303,16.47619903,16.61023246,16.83672556,16.19818791,15.77467488,15.87972434,15.89150481,15.92463304,15.96886142,15.78822563,15.77144492,15.94394853,16.16157673,16.7420524,17.37460029,17.77418397,17.76270972,17.95764841,18.85407519,20.77663333,21.74874534,22.84768256,25.61125777,27.81992121,29.41249756,31.37842467,33.95090564,39.11219185,47.16954173,53.61787238,57.10362171,58.02993406,57.51196504,56.78247772,57.95302657,59.13707356,59.49476454,61.04486565,65.29012205,67.83816032,70.50278278,76.005538,81.95480077,81.84506479,87.52875058,94.66422666,96.92905328,99.08595168,99.9067536,100,101.1380176,105.2386417,
Cote d'Ivoire,CIV,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,6.643475295,6.842119423,7.047712783,7.260125007,7.47111716,7.701142981,7.704346904,7.798937165,8.250791985,8.40375489,8.655098451,8.57364585,8.788982947,9.951586884,12.60808054,13.15198729,15.54867042,20.01911402,20.90662233,22.27420753,27.65202027,28.47521847,30.83903679,33.62897719,39.65189199,39.78815852,38.98427664,37.39558675,37.25313723,36.87598404,35.20798241,35.44158359,35.43313534,37.61375933,55.06130384,61.14215853,64.188924,68.16971269,70.65073797,71.20618141,72.80534321,78.19032738,83.40351661,87.40773353,84.88110775,85.98567009,87.48527539,90.05134312,97.70802111,100,105.3864233,107.1099385,110.4891128,114.5887912,119.0684821,122.7669243,121.4550998,119.3391136,
Cameroon,CMR,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,7.077741813,7.436190443,7.667452922,7.64720172,7.985287057,8.20507663,8.220533084,10.16297806,10.74742348,11.31724773,12.20949992,12.62952194,13.63690104,14.52732699,16.07537245,17.03829897,20.39048947,21.59042366,22.32661536,25.19620315,28.78562771,31.31881874,35.22801849,39.72419583,45.10769504,50.15395057,50.24384435,49.04185626,49.44100728,48.54163424,49.33922107,51.09999653,50.44710667,70.52517266,77.30880232,81.16866995,82.03941829,86.62452225,90.35655705,89.34477464,94.00394096,95.3770313,97.13354783,97.32374553,99.25660173,100,103.3586637,104.3485946,111.2489416,113.079189,115.2388068,118.3159509,121.4760517,123.955566,126.5537676,126.780485,128.1682744,130.0683323,
"Congo, Dem. Rep.",COD,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,1.05E-14,1.11E-14,1.35E-14,2.53E-14,2.62E-14,3.64E-14,3.82E-14,6.06E-14,9.69E-14,1.14E-13,1.11E-13,1.20E-13,1.32E-13,1.56E-13,1.84E-13,2.07E-13,3.25E-13,4.47E-13,5.74E-13,1.16E-12,1.75E-12,2.33E-12,3.35E-12,5.97E-12,1.13E-11,1.42E-11,1.83E-11,3.18E-11,6.09E-11,1.28E-10,2.68E-10,6.52E-09,2.58E-07,4.54E-06,0.001218579,0.006902121,0.050950685,0.149103528,0.189265125,1.025632428,28.00102347,48.4584904,63.82926247,72.39224751,77.00034581,100,113.3252254,136.2979088,164.1917073,217.8133188,263.0887034,299.3730032,317.1557363,325.945046,329.1837359,325.3787086,339.5302393,481.0683457,
